route,direction,departure_time,stop_id,weekday,saturday,sunday
120,O,08:00:00,6004,0,1,0
120,O,09:20:00,6004,0,1,0
120,O,12:20:00,6004,0,1,0
120,O,13:40:00,6004,0,1,0
120,O,12:40:00,6004,0,1,0
120,O,14:00:00,6004,0,1,0
120,O,13:00:00,6004,0,1,0
120,O,14:20:00,6004,0,1,0
120,O,12:00:00,6004,0,1,0
120,O,13:20:00,6004,0,1,0
120,O,14:40:00,6004,0,1,0
120,O,21:45:00,6004,0,1,0
120,O,22:45:00,6004,0,1,0
120,O,21:15:00,6004,0,1,0
120,O,22:15:00,6004,0,1,0
120,O,23:30:00,6004,0,1,0
120,I,07:40:00,284,0,1,0
120,I,07:00:00,284,0,1,0
120,I,07:20:00,284,0,1,0
120,I,19:45:00,284,0,1,0
120,I,15:00:00,284,0,1,0
120,I,19:00:00,284,0,1,0
120,I,15:20:00,284,0,1,0
120,I,19:15:00,284,0,1,0
120,I,20:45:00,284,0,1,0
120,I,20:15:00,284,0,1,0
120,I,10:20:00,284,0,1,0
120,I,11:40:00,284,0,1,0
120,I,10:40:00,284,0,1,0
120,I,11:00:00,284,0,1,0
120,I,10:00:00,284,0,1,0
120,I,11:20:00,284,0,1,0
120,I,09:00:00,284,0,1,0
120,I,08:00:00,284,0,1,0
120,I,09:20:00,284,0,1,0
120,I,08:20:00,284,0,1,0
120,I,09:40:00,284,0,1,0
120,I,08:40:00,284,0,1,0
120,I,13:00:00,284,0,1,0
120,I,14:20:00,284,0,1,0
120,I,15:40:00,284,0,1,0
120,I,17:00:00,284,0,1,0
120,I,18:20:00,284,0,1,0
120,I,12:00:00,284,0,1,0
120,I,13:20:00,284,0,1,0
120,I,14:40:00,284,0,1,0
120,I,12:20:00,284,0,1,0
120,I,13:40:00,284,0,1,0
120,I,16:20:00,284,0,1,0
120,I,17:40:00,284,0,1,0
120,I,12:40:00,284,0,1,0
120,I,14:00:00,284,0,1,0
120,I,16:40:00,284,0,1,0
120,I,18:00:00,284,0,1,0
120,I,16:00:00,284,0,1,0
120,I,17:20:00,284,0,1,0
120,I,18:40:00,284,0,1,0
120,I,21:15:00,284,0,1,0
120,I,22:15:00,284,0,1,0
120,I,23:30:00,284,0,1,0
120,I,21:45:00,284,0,1,0
120,I,22:45:00,284,0,1,0
122,O,06:55:00,4525,0,1,0
122,O,07:15:00,4525,0,1,0
122,O,07:35:00,4525,0,1,0
122,O,07:55:00,4525,0,1,0
122,O,19:45:00,4525,0,1,0
122,O,20:15:00,4525,0,1,0
122,O,20:45:00,4525,0,1,0
122,O,19:15:00,4525,0,1,0
122,O,16:15:00,4525,0,1,0
122,O,16:55:00,4525,0,1,0
122,O,17:15:00,4525,0,1,0
122,O,17:35:00,4525,0,1,0
122,O,15:55:00,4525,0,1,0
122,O,18:35:00,4525,0,1,0
122,O,15:15:00,4525,0,1,0
122,O,17:55:00,4525,0,1,0
122,O,15:35:00,4525,0,1,0
122,O,18:15:00,4525,0,1,0
122,O,16:35:00,4525,0,1,0
122,O,18:55:00,4525,0,1,0
122,O,11:35:00,4525,0,1,0
122,O,11:55:00,4525,0,1,0
122,O,10:15:00,4525,0,1,0
122,O,10:35:00,4525,0,1,0
122,O,10:55:00,4525,0,1,0
122,O,11:15:00,4525,0,1,0
122,O,09:15:00,4525,0,1,0
122,O,09:35:00,4525,0,1,0
122,O,09:55:00,4525,0,1,0
122,O,08:15:00,4525,0,1,0
122,O,08:35:00,4525,0,1,0
122,O,08:55:00,4525,0,1,0
122,O,13:55:00,4525,0,1,0
122,O,14:15:00,4525,0,1,0
122,O,12:15:00,4525,0,1,0
122,O,14:35:00,4525,0,1,0
122,O,12:35:00,4525,0,1,0
122,O,14:55:00,4525,0,1,0
122,O,13:35:00,4525,0,1,0
122,O,12:55:00,4525,0,1,0
122,O,13:15:00,4525,0,1,0
122,O,22:15:00,4525,0,1,0
122,O,22:45:00,4525,0,1,0
122,O,21:15:00,4525,0,1,0
122,O,23:10:00,4525,0,1,0
122,O,21:45:00,4525,0,1,0
122,O,23:30:00,4525,0,1,0
122,I,08:05:00,1423,0,1,0
122,I,08:25:00,1423,0,1,0
122,I,08:45:00,1423,0,1,0
122,I,07:05:00,1423,0,1,0
122,I,07:25:00,1423,0,1,0
122,I,07:45:00,1423,0,1,0
122,I,21:00:00,1423,0,1,0
122,I,20:00:00,1423,0,1,0
122,I,19:35:00,1423,0,1,0
122,I,20:30:00,1423,0,1,0
122,I,15:05:00,1423,0,1,0
122,I,15:35:00,1423,0,1,0
122,I,18:15:00,1423,0,1,0
122,I,15:55:00,1423,0,1,0
122,I,18:35:00,1423,0,1,0
122,I,16:15:00,1423,0,1,0
122,I,18:55:00,1423,0,1,0
122,I,17:15:00,1423,0,1,0
122,I,16:35:00,1423,0,1,0
122,I,19:15:00,1423,0,1,0
122,I,16:55:00,1423,0,1,0
122,I,15:25:00,1423,0,1,0
122,I,17:55:00,1423,0,1,0
122,I,17:35:00,1423,0,1,0
122,I,10:25:00,1423,0,1,0
122,I,10:45:00,1423,0,1,0
122,I,11:05:00,1423,0,1,0
122,I,11:25:00,1423,0,1,0
122,I,10:05:00,1423,0,1,0
122,I,11:45:00,1423,0,1,0
122,I,09:05:00,1423,0,1,0
122,I,09:25:00,1423,0,1,0
122,I,09:45:00,1423,0,1,0
122,I,12:45:00,1423,0,1,0
122,I,13:05:00,1423,0,1,0
122,I,13:25:00,1423,0,1,0
122,I,13:45:00,1423,0,1,0
122,I,12:25:00,1423,0,1,0
122,I,14:45:00,1423,0,1,0
122,I,14:05:00,1423,0,1,0
122,I,12:05:00,1423,0,1,0
122,I,14:25:00,1423,0,1,0
122,I,21:30:00,1423,0,1,0
