,stop_number,stop_address
552,4,"Parnell Square, Rotunda Hospital"
663,7132,"Charlestown Rd, Charlestown S.C."
664,6230,"Charlestown, Melville"
665,6228,"Charlestown, Melville"
666,4788,"Jamestown Rd, Sycamore Road"
667,6273,"Sycamore Rd, Oakwood Park"
668,136,"McKee Road, Sycamore Road"
669,137,"McKee Road, Clancy Avenue"
670,193,"Mckee Road, Clune Road"
671,138,"Ballygall Road West, St. Canice's School"
672,167,"Beneavin Rd, Ballygall Road East"
673,168,"Beneavin Rd, Beneavin Park"
674,169,"Beneavin Rd, Ballygall Road East"
675,141,"Glasnevin Avenue, Willow Park Road"
676,142,"Glasnevin Avenue, Glasnevin Park"
677,143,"Glasnevin Avenue, Willow Park Avenue"
694,263,"Parnell Square, Garden of Remembrance"
695,277,"O'Connell St, Citizens Information"
696,336,"D'Olier Street, Ashfield House"
697,1278,"College Green, Suffolk Street"
698,1282,"George's St, Exchequer Street"
699,4456,"Aungier Street, Church"
700,1284,"Redmond's Hill, Cuffe Street"
701,1285,"Camden St, Grantham Street"
702,1286,"Harrington Street, Richmond St."
703,1288,"South Circular Road, Victoria Street"
704,1289,"South Circular Road, Longwood Avenue"
705,1290,"Clanbrassil St, Grove Road"
706,1291,"Harold's Cross Rd, Le Vere Terrace"
707,2389,"Kimmage Rd, Harold's Cross"
708,2390,"Kimmage Road, Kenilworth Park"
709,2391,"Kimmage Rd, Priory Road"
710,2392,"Kimmage Rd, Larkfield Park"
711,2393,"Kimmage Rd, Corrib Road"
712,2394,"Kimmage Rd, Poddle Park"
713,1090,"Kimmage Road West, Fortfield Road"
714,2413,"Kimmage Road West, Whitehall Road"
715,2414,"Kimmage Road West, Westbrook"
716,2415,"Kimmage Road West, Royston Village"
717,2416,"Cromwellsfort Rd, Whitehall Road"
718,2417,"Cromwellsfort Rd, Cherry Grove"
719,2418,"Cromwellsfort Rd, Bigger Road"
720,2419,"Cromwellsfort Rd, Roundabout"
721,2452,"St. Peter's Road, Roundabout"
722,2453,"St. Peter's Road, St. James's Road"
723,2454,"St. James's Road, St. Conleth's Road"
724,2455,"St. James's Road, St. Brendan's Crescent"
725,2456,"St. James's Road, St. Killian's Avenue"
726,2445,"St. James's Road, Greenhills Park"
727,2457,"St. James's Road, Limekiln Avenue"
728,4392,"Limekiln Ave, Greenhills College"
763,2446,"St. James's Road, St Mel's Avenue"
764,2459,"St. James's Road, St. Killian's Avenue"
765,2460,"St. James's Road, St. Brendan's Crescent"
766,2461,"St. James's Road, St. Joseph's Road"
767,2462,"St. James's Road, St. Peter's Road"
768,2463,"St. Peter's Road, Roundabout"
769,2431,"Cromwellsfort Rd, Roundabout"
770,2432,"Cromwellsfort Rd, Beechfield Avenue"
771,2433,"Cromwellsfort Rd, Cherry Grove"
772,2434,"Kimmage Road West, St.Teresa's Road"
773,2435,"Kimmage Road West, Westbrook"
774,2436,"Kimmage Road West, Lorcan O'Toole Park"
