,stop_number,stop_address
8153,3107,"Avondale Road, Avondale Park"
8154,3108,"Avondale Road, Bellevue Avenue"
8155,7666,"Barnhill Rd, Albert Rd"
8156,3111,"Barnhill Rd, Barnhill Ave"
8157,3058,"Ulverton Road, Hyde Road"
8158,3059,"Ulverton Road, Church Road"
8159,3060,"Ulverton Road, The Paddocks"
8160,3061,"Ulverton Road, Our Lady's Manor"
8161,3062,"Breffni Road, Castlepark Rd"
8162,3063,"Sandycove Rd, Buckley Galleries"
8163,3064,"Sandycove Rd, Brighton House"
8164,3065,"Glasthule Rd, Adelaide Road"
8165,3066,"Glasthule Rd, Glasthule Church"
8166,3067,"Glasthule Rd, DART Station"
8170,4983,"Marine Road, Town Hall"
8207,2919,"Willbrook Rd, Rathfarnham Court House"
8208,2920,"Willbrook Rd, Whitechurch Road"
8209,2921,"Willbrook Rd, Willbrook Park"
8210,2922,"Ballyboden Rd, Fonthill Road"
8211,2923,"Ballyboden Rd, Willowbank Drive"
8212,2924,"Ballyboden Rd, Cuerton House"
8213,2925,"Ballyboden Rd, Ballyboden Crescent"
8214,2955,"Whitechurch Green, Lady of Good Council"
8258,7067,"Whitechurch Green, Whitechurch Walk"
8260,2984,"Taylors Lane, Moyville Lawns"
8262,2956,"Whitechurch Green, Glenmore Park"
8263,2965,"Whitechurch Rd, Taylor's Lane"
8264,2983,"Taylors Lane, Pearse Brothers Park"
8266,7449,"Taylors Lane, Edmondstown Road"
8267,2941,"Ballyboden Rd, Ballyboden Crescent"
8268,2942,"Ballyboden Rd, Owendoher Lodge"
8269,2943,"Ballyboden Rd, River Bank House"
8270,2944,"Ballyboden Rd, Edenbrook Court"
8271,2945,"Ballyboden Rd, Fairbrook Lawn"
8272,2946,"Willbrook Rd, Whitechurch Road"
8273,2947,"Willbrook Rd, Rathfarnham Church"
8307,303,"Eden Quay, Marlborough Street"
8355,2039,"Crofton Road, Railway Station"
8358,2042,"York Road, Willow Bank"
8359,2043,"York Road, St. Michael's Terrace"
8360,2044,"York Road, Training Centre"
8361,2045,"York Road, Mounttown Road"
8362,2046,"Mounttown Rd, Mounttown Park"
8363,2047,"Oliver Plunkett Rd, Mounttown Road"
8364,2048,"Oliver Plunkett Rd, St. Patrick's Crescent"
8365,2049,"Monkstown Farm, Oliver Plunkett Ave"
8366,2050,"Monkstown Farm, Monkstown Avenue"
8368,2053,"Abbey Rd, Abbey Park"
8369,2054,"Abbey Rd, Rory O'Connor Park"
8370,2055,"Abbey Rd, Kill Lane"
8371,7636,"Pottery Rd, Mackintosh Park"
8372,7651,"Pottery Road, Hillview Drive"
8373,7635,"Pottery Rd, Cabinteely Court"
8374,3254,"Johnstown Road, Community School"
8375,5127,"Bray Road, Cabinteely Bypass"
8376,5128,"Bray Road, Clonkeen Road"
8377,3126,"Clonkeen Rd, Bray Road"
8378,3255,"Old Bray Road, San Antonio"
8379,3309,"Cornelscourt Hill, Kerrymount Green"
8380,3306,"Cornelscourt Hill, Sycamore Drive"
8381,4772,"Cornelscourt Hill, Hainault Road"
8382,3276,"Glenamuck Rd, Tennis Club"
8383,7372,"Glenamuck Rd, Luas Carrickmines"
8384,5106,"Ballyogan Rd, Luas Ballyogan"
8385,4396,"Ballyogan Rd, Ballyogan Avenue"
8386,4773,"Ballyogan Ave, Ballyogan Road"
8387,4393,"Ballyogan Ave, Leopardstown Abbey"
8388,4395,"Ballyogan, Community Centre"
8389,4313,"Ballyogan Rd, Luas Ballyogan"
8390,3277,"Glenamuck Rd, Springfield Lane"
8391,3278,"Glenamuck Rd, Glenamuck Cottages"
8392,3279,"Glenamuck Rd, Cromlech Close"
8432,7360,"Carrickmines, Business Park"
8464,3256,"Old Bray Road, Centra Store"
8465,3265,"Mart Lane, Frascati Road"
8466,3266,"Mart Lane, St. Brigid's School"
8467,3346,"Mart Lane, Westminister Road"
8468,3267,"Westminster Road, Gordon Avenue"
8469,3268,"Westminster Road, Plunkett Avenue"
8470,3269,"Westminster Road, Lismallon"
8471,3270,"Brighton Road, Optical Centre"
8472,3271,"Brighton Road, The Coppins"
8473,3272,"Brighton Road, Tresillian"
8474,3273,"Brighton Road, Kerrymount Avenue"
8475,3274,"Brighton Road, Brighton Avenue"
8476,3275,"Brighton Road, Cnoc Ard"
8494,3285,"Glenamuck Rd, Glenamuck Cottages"
8495,7324,"Glenamuck Rd, Springfield Lane"
8502,7373,"Glenamuck Rd, Carrickmines"
8503,3289,"Glenamuck Rd, Brighton Road"
8504,3312,"Cornelscourt Hill, Hainault Road"
8505,4771,"Cornelscourt Hill, Sycamore Drive"
8506,3307,"Cornelscourt Hill, Kerrymount Green"
8507,3262,"Old Bray Road, Glen Walk"
8508,3153,"Clonkeen Rd, Old Bray Road"
8509,7362,"Cabinteely Bypass, Clonkeen Road"
8510,3129,"Bray Road, Johnstown Road"
8511,7634,"Pottery Rd, Cabinteely Court"
8512,3249,"Pottery Rd, Mackintosh Park"
8513,7637,"Pottery Rd, Clonkeen Crescent"
8514,2023,"Abbey Rd, Kill Lane"
8515,2024,"Abbey Rd, Rory O'Connor Park"
8516,2025,"Abbey Rd, Abbey Park"
8518,2027,"Monkstown Farm, Monkstown Avenue"
8519,2028,"Monkstown Farm, Oliver Plunkett Ave"
8520,2029,"Oliver Plunkett Rd, St. Patrick's Crescent"
8521,2030,"Oliver Plunkett Rd, Mounttown Road"
8522,2031,"Mounttown Rd, Mounttown Park"
8523,2032,"York Road, Kendal House"
8524,2033,"York Road, Knapton Court"
8525,2034,"York Road, Vesey Place"
8593,3290,"Brighton Road, Mountsandel Park"
8594,5168,"Brighton Road, Synnerton"
8595,3291,"Brighton Road, Tresillian"
8596,3292,"Brighton Road, The Coppins"
8597,3293,"Brighton Road, Westminister Road"
8598,3294,"Westminster Road, Brighton Road"
8599,3295,"Westminster Road, Plunkett Avenue"
8600,3296,"Westminster Road, Gordon Avenue"
8601,3297,"Mart Lane, Brynogue"
8602,3298,"Mart Lane, St. Brigid`s School"
8603,3260,"Old Bray Road, Mart Lane"
8604,3261,"Old Bray Road, Willow Grove"
8654,2550,"Tallaght Road, Cheeverstown House"
8655,2551,"Tallaght Road, Wellington Lane"
8656,2553,"Tallaght Road, M50 Flyover"
8657,2554,"Tallaght Road, Glenview Park"
8658,2555,"Blessington Rd, Bancroft Road"
8659,2556,"Blessington Rd, Tallaght Youth Centre"
8667,4445,"Blessington Rd, Killinarden"
8668,2352,"Blessington Rd, Jobstown House"
8669,2573,"Blessington Rd, Kiltalown Cottages"
8670,2574,"Blessington Rd, De Selby"
8671,2576,"Blessington Rd, Citywest Road"
8672,2577,"Blessington Rd, Corbally Bridge"
8673,2578,"Blessington Rd, Rosedale"
8674,2579,"Blessington Rd, Ivy Cottage"
8675,7395,"Blessington Rd, Slade Hill Saggart"
8676,6124,"Blessington Rd, St. Brigid's Home"
8677,4004,"Blessington Rd, The Pines"
8678,4005,"Blessington Rd, Glenareen"
8679,4006,"Blessington Rd, Glenareen"
8680,4007,"Blessington Rd, Brittas Cottages"
8681,4008,"Blessington Rd, Pine Cottages"
8682,4010,"Blessington Rd, Listeen Road"
8683,4009,"Blessington Rd, Listeen Road"
8684,4011,"Blessington Rd, Carrig View"
8685,5110,"Blessington Rd, Arduan"
8686,4012,"Blessington Rd, Lisheen View"
8687,4013,"Blessington Rd, Antique Shop"
8688,4014,"Blessington Rd, June Blake Garden"
8689,4098,"Blessington Rd, Finlay Breton"
8690,4015,"Blessington Rd, Golden Hill"
8691,4017,"Blessington Rd, Hempstown"
8692,4018,"Blessington Rd, Kilteel Road"
8693,4019,"Blessington Rd, Hempstead"
8694,4020,"Blessington Rd, Cleevaun"
8695,4100,"Blessington Rd, Veterinary Clinic"
8696,4021,"Blessington Rd, Kilbride Road"
8697,4022,"Blessington Rd, Clarke Group"
8698,4023,"Blessington Rd, Hayland's Sand Pits"
8699,4024,"Blessington Rd, Hayland's Sand Pits"
8700,4027,"Blessington, Tourist Office"
8701,7250,"Baltinglass Rd, Blessington"
8702,7248,"Baltinglass Rd, Valleymount Road"
8703,7207,"Blessington Rd, Russborough House"
8704,7288,"Crowleys Lane, at Picnic area opp PLP98778"
8705,7286,"Ballymore Road, Blessington Road"
8706,7283,"Ballymore Road, 15 metres from PLP"
8707,7282,"Ballymore Eustace, Waterworks Road"
8708,7278,"Ballymore Eustace, Junction Plunkett Road"
8709,7289,"Ballymore Eustace, Main Street"
8785,7252,"Baltinglass Rd, Burgage"
8787,7254,"Valleymount Rd, Bridge"
8788,7257,"Valleymount Rd, Pollaphuca Rd"
8789,7258,"Valleymount Rd, Pollaphuca"
8790,7260,"Valleymount Rd, Car Park"
8791,7263,"Valleymount Rd, School"
8792,7264,"Valleymount Rd, Ballyknockan Road"
8793,7268,"Ballyknockan, At Village"
8869,7280,"Ballymore Eustace, Barrack Street"
8870,7281,"Ballymore Eustace, Waterworks Road"
8871,7284,"Ballymore Road, GAA club"
8872,7287,"Blessington Road, Bishops Lane"
8873,7208,"Blessington Rd, Russborough House"
8874,7249,"Baltinglass Rd, Valleymount Road"
8875,7253,"Baltinglass Rd, Burgage"
8876,7251,"Baltinglass Road, Blessington"
8877,4051,"Blessington Rd, Tourist Office"
8878,4052,"Blessington Rd, Community Centre"
8879,4054,"Blessington Rd, Hayland's Sand Pits"
8880,4055,"Blessington Rd, Hayland's Sand Pits"
8881,4057,"Blessington Rd, Clarke Group"
8882,4101,"Blessington Rd, Kilbride Road"
8883,4102,"Blessington Rd, Veterinary Clinic"
8884,4058,"Blessington Rd, Carton Lodge"
8885,4059,"Blessington Rd, Hempstead"
8886,4060,"Blessington Rd, Kilteel Road"
8887,4061,"Blessington Rd, Hempstone Garage"
8888,4062,"Blessington Rd, Hempstown"
8889,4063,"Blessington Rd, Golden Hill"
8890,4064,"Blessington Rd, Golden Hill"
8891,4056,"Blessington Rd, Finlay Breton"
8892,4133,"Blessington Rd, June Blake Garden"
8893,4065,"Blessington Rd, Antique Shop"
8894,4066,"Blessington Rd, Lisheen View"
8895,4067,"Blessington Rd, Arduan"
8896,4068,"Blessington Rd, Carrig View"
8897,4069,"Blessington Rd, Fairway View"
8898,4070,"Blessington Rd, Pine Cottages"
8899,4071,"Blessington Rd, Glenareen"
8900,4072,"Blessington Rd, Glenareen"
8901,4073,"Blessington Rd, The Pines"
8902,2583,"Blessington Rd, Hospital"
8903,2584,"Blessington Rd, St. Brigid's Home"
8904,2585,"Blessington Rd, Verschoyles Hill"
8905,2586,"Blessington Rd, Crooksling"
8906,2587,"Blessington Rd, Rosedale"
8907,2588,"Blessington Rd, Corbally Bridge"
8908,2589,"Blessington Rd, The Embankment"
8909,2590,"Blessington Rd, The Villa"
8910,2591,"Blessington Rd, De Selby"
8911,2592,"Blessington Rd, Kiltalown Cottages"
8912,2357,"Blessington Rd, Jobstown House"
8913,2358,"Blessington Rd, Killinarden"
8921,2594,"Blessington Rd, Baptist Church"
8922,2595,"Blessington Rd, Bancroft Road"
8923,2596,"Tallaght Road, Glenview Lawn"
8924,2597,"Tallaght Road, M50 Flyover"
8925,2599,"Tallaght Road, Spawell Centre"
8926,2600,"Tallaght Road, Cheeverstown House"
8953,7269,"Ballyknockan, At Village"
9033,5111,"Finnegan Park, Community Centre"
9139,3365,"Lucan Road, The Old Hill"
9140,3366,"Lucan Road, Lucan Heights"
9141,3367,"Lucan Road, Sarsfield Park"
9145,7186,"Leixlip Rd, Lucan Spa Hotel"
9146,7187,"Leixlip Rd, Kew Park"
9147,3954,"Leixlip Rd, Springfield Hotel"
9148,3955,"Leixlip Rd, Cooldrinagh Road"
9149,3956,"Leixlip Rd, Water Works"
9150,3957,"Leixlip, Mill Lane"
9151,3958,"Leixlip, Church of Ireland"
9152,3959,"Station Road, Our Lady's Nativity"
9153,3960,"Station Road, The Old Hill"
9154,3961,"Station Road, Cedar Park"
9155,3962,"Station Road, Louisa Bridge Station"
9156,3963,"Station Road, Leixlip Amenities"
9157,3964,"Maynooth Road, Intel Extrance 1"
9158,3965,"Maynooth Road, Intel Extrance 2"
9159,3968,"Maynooth Road, Carton Road"
9160,3966,"Maynooth Road, Leinster Park"
9161,5113,"Maynooth, Main Street"
9162,3918,"Straffan Rd, Old Greenfield Road"
9163,5114,"Straffan Rd, Kingsbury"
9223,3985,"Maynooth Road, Intel Extrance 2"
9224,3986,"Maynooth Road, Intel Extrance 1"
9225,3987,"Station Road, Leixlip Amenities"
9226,3989,"Station Road, Louisa Bridge Station"
9227,3990,"Station Road, Ryevale Lawns"
9228,3991,"Station Road, Ryevale Lawns"
9229,3998,"Leixlip, Mill Lane"
9230,3999,"Leixlip Rd, Cooldrinagh Lane"
9231,4000,"Leixlip Rd, Cooldrinagh Terrace"
9232,4001,"Leixlip Rd, Golf Course"
9235,3372,"Lucan Road, Lucan Village"
9236,3373,"Lucan Road, Lucan Heights"
9237,3374,"Lucan Road, St. Mary's Church"
9269,3980,"Straffan Rd, Kingsbury"
9270,6089,"Straffan Rd, Old Greenfield Road"
9271,3981,"Maynooth, Convent Lane"
9272,3982,"Maynooth Road, Leinster Park"
9273,3983,"Maynooth Road, Carton House"
9362,3947,"Leixlip Rd, Celbridge Road"
9363,3892,"Celbridge Rd, Weston Park"
9364,3893,"Celbridge Rd, Cooldrinagh Lane"
9365,3895,"Celbridge Rd, Weston Aerodrome"
9366,3896,"Celbridge Rd, Dept of Agriculture"
9367,3897,"Celbridge Rd, Backweston Park"
9368,3898,"Celbridge Rd, Backweston Farm"
9369,3899,"Dublin Rd, Celbridge Road"
9370,3900,"Dublin Rd, Celbridge Football Park"
9371,3901,"Dublin Rd, Ballyoulster Road"
9372,3902,"Dublin Rd, Ballyoulster Park"
9373,3904,"Dublin Rd, Riding School"
9374,3905,"Dublin Rd, Newtown Road"
9375,3906,"Celbridge Main St, English Row"
9376,3907,"Celbridge Main St, Castletown"
9377,3908,"Big Lane, Dara Court"
9378,3909,"Maynooth Road, Beatty Park"
9379,5118,"Maynooth Road, Hawthorn View"
9380,3910,"Maynooth Road, Thornhill"
9381,3911,"Maynooth Road, Crodaun Forest Park"
9382,3912,"Maynooth Road, Salesian College"
9383,3913,"Maynooth Road, Maynooth Road"
9384,3914,"Celbridge Rd, Obelisk Lane"
9385,7075,"Celbridge Rd, Griffin Rath"
9386,3925,"Celbridge Rd, Rockfield Manor"
9387,3008,"Celbridge Rd, Railpark"
9389,3917,"Straffan Rd, Maynooth Station"
9391,3926,"Celbridge Rd, Railpark"
9392,7074,"Celbridge Rd, Griffin Rath Hall"
9393,3919,"Celbridge Rd, Obelisk Lane"
9394,3920,"Maynooth Road, Salesian College"
9395,3921,"Maynooth Road, Salesian College"
9396,3922,"Maynooth Road, Crodaun Forest Park"
9397,3923,"Maynooth Road, Thornhill Court"
9398,3112,"Maynooth Road, Hawthorn View"
9399,3924,"Maynooth Road, Beatty Park"
9400,3927,"Big Lane, Chestnut Grove"
9401,3928,"Celbridge Main St, Castletown"
9402,3929,"Celbridge Main St, St. Patrick's Park"
9403,7108,"Dublin Rd, Newtown Road"
9404,3935,"Dublin Rd, Riding School"
9405,3936,"Dublin Rd, Ballyoulster"
9406,7110,"Dublin Rd, Loughlinstown Road"
9407,3938,"Dublin Rd, Celbridge Football Park"
9408,3939,"Celbridge Rd, Backweston Labs"
9409,3940,"Celbridge Rd, Dublin Road"
9410,3941,"Celbridge Rd, Backweston Park"
9411,3943,"Celbridge Rd, Dept of Agriculture"
9412,3944,"Celbridge Rd, Weston Aerodrome"
9413,3945,"Celbridge Rd, Cooldrinagh Lane"
9414,3946,"Celbridge Rd, Weston"
9451,7385,"Merrion Square, Merrion Street"
9461,1360,"South Circular Road, Griffith College"
9462,1362,"South Circular Road, National Stadium"
9463,1363,"South Circular Road, Clogher Road"
9464,1364,"South Circular Road, Dolphin Avenue"
9465,1365,"South Circular Road, Dolphin's Barn Church"
9468,1369,"South Circular Road, Mountshannon Road"
9469,1370,"South Circular Road, Hybreasal House"
9470,1371,"Suir Road, South Circular Road"
9471,1372,"Goldenbridge Ave, Kickham Road"
9472,1373,"Goldenbridge Ave, Stephen's Road"
9473,1374,"Southern Cross Ave, Bulfin Road"
9490,1968,"Monastery Rd, Monastery Heath"
9491,1969,"Monastery Rd, Monastery Walk"
9492,1970,"Monastery Rd, Floraville Avenue"
9493,1971,"Monastery Rd, Laurel Park"
9494,2114,"Ninth Lock Road, Thornfield Square"
9495,2115,"Ninth Lock Road, Thornfield Square"
9496,6011,"New Nangor Road, Ninth Lock Road"
9497,2133,"New Nangor Road, Roundabout"
9498,6244,"New Nangor Road, Bawnogue Road"
9499,2134,"New Nangor Road, Lealand Drive"
9500,3378,"Cherrywood Villas, Old Church Ave"
9501,3379,"Nangor Road, Old Church Drive"
9502,4669,"Nangor Road, Mill Church Way"
9505,2167,"Nangor Road, Golf Club"
9506,3383,"Nangor Road, Kilcarberry"
9507,3384,"Nangor Road, Pitch and Putt Club"
9508,7483,"Baldonnell, Aerodome"
9509,3385,"Nangor Road, Baldonnell Road"
9510,3386,"Peamount Rd, Nangor Road"
9511,3387,"Peamount Rd, Golf Club"
9512,4559,"Peamount Rd, Golf Club"
9513,3389,"Peamount Rd, Peamount Hospital"
9514,3390,"Peamount Rd, Cross Road"
9515,6119,"Peamount Rd, The Beeches"
9516,3392,"Peamount Rd, Westmanstown"
9517,3393,"Peamount Rd, Cornerpark"
9518,3394,"Peamount Rd, Newcastle"
9519,3396,"Newcastle, Main Street"
9520,3397,"Newcastle, Orchard Grove"
9521,3398,"Newcastle, Alymer Road"
9522,3399,"Newcastle, Newcastle Manor"
9523,6187,"Newcastle, Ballynakelly"
9524,6188,"Newcastle Rd, Grants Road"
9525,6215,"Greenogue, Newcastle Rd"
9526,6184,"Greenogue, Business Park"
9742,3400,"Newcastle, Newcastle Manor"
9743,3401,"Newcastle, Aylmer Road"
9744,3402,"Newcastle, Orchard Grove"
9745,3403,"Newcastle, Main Street"
9746,3404,"Peamount Rd, Newcastle"
9747,3405,"Peamount Rd, Cornerpark"
9748,3406,"Peamount Rd, Westmanstown"
9749,3410,"Peamount Rd, Westmanstown"
9750,3407,"Peamount Rd, Keeloges"
9751,3408,"Peamount Rd, Cross Roads"
9752,3409,"Peamount Rd, Peamount Hospital"
9753,4558,"Peamount Rd, Golf Club"
9754,3411,"Peamount Rd, Golf Club"
9755,3412,"Peamount Rd, Nangor Road"
9756,3413,"Peamount Rd, Baldonnell Road"
9757,3414,"Nangor Road, Pitch and Putt Club"
9758,3415,"Nangor Road, Golf Course"
9759,3416,"Nangor Road, Kilcarberry Park"
9760,3417,"Nangor Road, Golf Club"
9763,3420,"Nangor Road, Old Church Drive"
9764,3421,"Nangor Road, Old Church Ave"
9765,3422,"Cherrywood Villas, Cherrywood Drive"
9766,3423,"Cherrywood Villas, Fonthill Road"
9767,2156,"New Nangor Road, Dunawley"
9768,6014,"New Nangor Road, Ninth Lock Road"
9769,2158,"Ninth Lock Road, Thornfield Square"
9772,1972,"Monastery Rd, Castle Park"
9773,1973,"Monastery Rd, Monastery Rise"
9774,1974,"Monastery Rd, Monastery Heath"
9788,6185,"Greenogue, Business Park"
9789,6186,"Greenogue, Newcastle Road"
9790,6216,"Newcastle Rd, Grants Road"
9834,1375,"Bulfin Road, Luby Road"
9835,1376,"Bulfin Road, Suir Road"
9836,1377,"South Circular Road, The Paddocks"
9837,1378,"South Circular Road, Mountshannon Road"
9838,1379,"South Circular Road, Rialto Bridge"
9841,1382,"South Circular Road, Dolphin's Barn"
9842,1383,"South Circular Road, Dolphin Avenue"
9843,1384,"South Circular Road, Clogher Road"
9844,1385,"South Circular Road, Griffith College"
9853,7665,"Poolbeg Street, Hawkin House"
10060,4720,"Aston Quay, Westmoreland Street"
10068,1452,"South Circular Road, Clancy Barracks"
10069,2640,"Inchicore Road, Kilmainham Jail"
10070,2641,"Inchicore Road, Camac Court"
10094,2162,"St. John's Road, St. John's Wood"
10095,2163,"St. John's Close, St. John's Court"
10096,2168,"St. John's Lawn, St. John's Drive"
10097,4536,"Hazelwood Cres, Hazelwood View"
10098,6003,"Boot Road, Green Isle Hotel"
10099,5123,"Green Isle Road, Manor Drive"
10100,5124,"Green Isle Road, Naas Road"
10101,5125,"Kingswood Road, Brownsbarn Court"
10102,6001,"Kingswood Ave, Kingswood Road"
10103,4438,"Kingswood Ave, Lake Drive"
10104,3432,"Bianconi Avenue, Citywest Road"
10105,3426,"Saggart Rd, Garter Lane"
10106,3434,"Saggart Village, Mill Road"
10107,3453,"Mill Road, Spring Bank"
10108,3437,"Fitzmaurice Road, Beechwood Lawns"
10109,3439,"Rathcoole, Maple Grove"
10110,3440,"Rathcoole, Coolamber"
10111,4557,"Rathcoole, Stoney Lane"
10112,3441,"Rathcoole, Jayle Lane"
10113,4560,"Johnstown Rd, St. Patrick's Crescent"
10114,5126,"Rathlawns, Community School"
10171,4564,"Rathlawns, Green Lane"
10172,3443,"Johnstown Rd, St. Patrick's Crescent"
10173,3444,"Rathcoole, Hillview"
10174,3445,"Rathcoole, Westpark"
10175,3446,"Rathcoole, National School"
10176,3447,"Rathcoole, Coolamber Road"
10177,3448,"Rathcoole Village, Beechwood Lawns"
10178,3449,"Fitzmaurice Road, Beechwood Lawns"
10179,3436,"Mill Road, Spring Bank"
10180,7432,"Mill Road, Mill Race"
10181,3454,"Mill Road, Mill Race"
10182,3455,"Saggart Village, Castle Road"
10183,3456,"Garters Lane, Golf Club"
10184,3457,"Garters Lane, Bianconi Avenue"
10185,3438,"Bianconi Avenue, Citywest Road"
10186,5022,"Kingswood Ave, Lake Drive"
10187,6002,"Kingswood Ave, Kingswood Road"
10188,5119,"Kingswood Road, Brownsbarn Orchard"
10189,5120,"Kingswood Road, Sports Club"
10190,5121,"Green Isle Road, Naas Road"
10191,5122,"Green Isle Road, Manor Drive"
10192,3461,"Boot Road, Hotel"
10193,4532,"Hazelwood Cres, Hazelwood View"
10194,4534,"Park View Lawns, St. John's Drive"
10195,4535,"St. John's Lawn, St. John's Green"
10196,2169,"St. John's Road, St. John's Wood"
10197,2170,"St. John's Road, Corkagh View"
10219,7435,"Con Colbert Rd, Memorial Gardens"
10220,2722,"Con Colbert Rd, Memorial Park"
10221,1471,"South Circular Road, Islandbridge Court"
10282,1480,"Ormond Quay, Ormond House"
10283,2912,"Parliament St, Lord Edward Street"
10431,7389,"Navan Road, River Road"
10432,4324,"Littlepace Rd, Castaheany"
10433,4769,"Littlepace Rd, Hunters Run"
10434,4770,"Littlepace Rd, Deerhaven"
10435,4765,"Littlepace Rd, Huntstown Wood"
10436,4766,"Littlepace Rd, Deerhaven"
10437,4767,"Littlepace Rd, Hunters Run"
10438,4768,"Littlepace Rd, Castaheany"
10439,4325,"Old Navan Rd, Littlepace"
10440,3328,"Clonee Village, Fairways Apartments"
10441,3329,"Old Navan Rd, Dublin Road"
10442,3330,"Dublin Rd, Old Navan Road"
10443,3331,"Dublin Rd, Mill View"
10444,3351,"Station Road, Hamilton Hall"
10445,3332,"Station Road, Dunboyne Church"
10446,3333,"Dunboyne Village, Navan Road"
10448,3334,"Station Road, Rooske Road"
10449,3352,"Station Road, Hamilton Hall"
10450,3335,"Dublin Rd, Mill View"
10451,3336,"Dublin Rd, Old Navan Road"
10452,3337,"Old Navan Rd, Dublin Road"
10453,3338,"Clonee Village, Fairways Apartments"
10454,3339,"Clonee Vlg, Summerseat Court"
10455,3340,"Old Navan Rd, Littlepace"
10540,2604,"Old Bawn Rd, Tallaght By-Pass"
10541,2605,"Old Bawn Rd, Watergate"
10542,2538,"Old Bawn Rd, The Crescent"
10546,6128,"Firhouse Rd, Ballycullen Ave"
10547,2544,"Firhouse Rd, Woodlawn"
10548,2545,"Firhouse Rd, Monalea Wood"
10552,1131,"Butterfield Ave, Old Bridge Road"
10553,1132,"Butterfield Ave, Anne Devlin Road"
10554,1133,"Butterfield Ave, Butterfield Grove"
10555,1134,"Butterfield Ave, Rathfarnham Shop Cen"
10556,5131,"Butterfield Ave, Brookmount Court"
10557,5132,"Butterfield Ave, Wendore Avenue"
10563,4332,"Nutgrove Way, Nutgrove"
10580,4586,"Kilmacud Rd, Dundrum College"
10581,2872,"Kilmacud Rd, Emerald Briar"
10582,2873,"Kilmacud Rd, Eden Park Road"
10583,2874,"Kilmacud Rd, Eden Park Avenue"
10584,2877,"Kilmacud Rd, Hazel Villas"
10585,7394,"Kilmacud Rd, Lakelands"
10586,2878,"Kilmacud Rd, Lakelands"
10587,2879,"Kilmacud Rd, Marsham Court"
10592,4571,"Stillorgan Road, Stillorgan Park"
10593,2013,"Stillorgan Road, St. John of God's"
10594,2014,"Stillorgan Road, Beechwood Court"
10595,4636,"Stillorgan Road, Galloping Green"
10596,2016,"Stillorgan Road, Newtownpark Ave"
10597,2015,"Stillorgan Road, Knocksinna"
10598,2017,"Stillorgan Road, Foxrock Church"
10599,2018,"Kill Lane, Foxrock Court"
10600,2019,"Kill Lane, Foxrock Avenue"
10601,2020,"Kill Lane, Foxrock Grove"
10602,2021,"Kill Lane, Foxrock Close"
10603,2022,"Kill Lane, Kill Abbey"
10604,4565,"Kill Avenue, Rosepark"
10605,4566,"Kill Avenue, Fire Station"
10606,4567,"Kill Avenue, Glenageary Road"
10701,4568,"Kill Avenue, Carriglea Avenue"
10702,4569,"Kill Avenue, Kill O The Grange"
10703,4570,"Kill Avenue, Church"
10704,2056,"Kill Lane, Business Park"
10705,2057,"Kill Lane, Clonkeen Drive"
10706,2058,"Kill Lane, Beech Park Avenue"
10707,2059,"Kill Lane, Beech Park Road"
10708,2060,"Stillorgan Road, Springfield Park"
10709,2061,"Stillorgan Road, Knocksinna"
10710,2062,"Stillorgan Road, Rocwood"
10711,2063,"Stillorgan Road, Galloping Green"
10712,2064,"Stillorgan Road, Brewery Road"
10713,2065,"Stillorgan Road, Merville Road"
10714,4637,"Kilmacud Rd, Stillorgan Road"
10719,7393,"Kilmacud Rd, Marsham Court"
10720,2880,"Kilmacud Rd, Kilmacud Avenue"
10721,2882,"Kilmacud Rd, Lakelands Lawn"
10722,2883,"Kilmacud Rd, Sweet Briar Lane"
10723,2885,"Kilmacud Rd, Eden Park Avenue"
10724,2886,"Kilmacud Rd, Eden Park Road"
10725,2887,"Kilmacud Rd, Birch's Lane"
10726,4587,"Kilmacud Rd, National School"
10742,4337,"Nutgrove Way, Loreto Park"
10749,5129,"Butterfield Ave, Grange Road"
10750,5130,"Butterfield Ave, Charleville Square"
10751,1138,"Butterfield Ave, Butterfield Grove"
10752,1139,"Butterfield Ave, Old Bridge Road"
10758,2520,"Firhouse Rd, Ballycullen Road"
10759,2521,"Firhouse Rd, Woodlawn Drive"
10764,2533,"Old Bawn Rd, Aylesbury"
10765,2534,"Old Bawn Rd, Old Bawn Terrace"
10766,2535,"Old Bawn Rd, Seskin View Rd"
10767,2536,"Old Bawn Rd, Old Bawn Court"
10768,2616,"Old Bawn Rd, St. Maelruan's Park"
10769,2617,"Tallaght Village, Tallaght Community Arts"
10943,5006,"Kylemore Rd, Le Fanu Road"
10944,5007,"Kylemore Rd, Cornamona Court"
10960,2130,"Ninth Lock Road, Station Road"
10964,2173,"New Road, Laurel Park"
10965,2174,"New Road, Knockmeenagh Road"
10966,3425,"Fonthill Rd, Naas Road"
10967,2763,"Belgard Road, Belgard Castle"
10968,2619,"Belgard Road, Belgard Inn"
10969,2620,"Belgard Road, Mayberry Road"
10970,2345,"Belgard Road, Belgard Retail Park"
10974,4341,"Tallaght, The Square"
10979,2363,"Belgard Road, Belgard Road North"
10980,2364,"Belgard Road, Belgard Retail Park"
10981,2618,"Belgard Road, Mayberry Road"
10982,5011,"Belgard Road, Cookstown Road"
10983,2762,"Belgard Road, Golf Club"
10984,2110,"New Road, Garden Centre"
10985,2111,"New Road, Church"
