stop_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
56,122,120,,,,,,,,,,,,,,,,,,,,,
57,38A,38B,38D,38,,,,,,,,,,,,,,,,,,,
58,38,122,38D,38B,38A,120,,,,,,,,,,,,,,,,,
59,38A,38B,38D,122,38,,,,,,,,,,,,,,,,,,
60,38,122,38D,38B,38A,,,,,,,,,,,,,,,,,,
63,122,,,,,,,,,,,,,,,,,,,,,,
64,122,,,,,,,,,,,,,,,,,,,,,,
65,122,,,,,,,,,,,,,,,,,,,,,,
66,122,,,,,,,,,,,,,,,,,,,,,,
68,120,,,,,,,,,,,,,,,,,,,,,,
69,120,,,,,,,,,,,,,,,,,,,,,,
71,120,,,,,,,,,,,,,,,,,,,,,,
72,120,,,,,,,,,,,,,,,,,,,,,,
73,122,,,,,,,,,,,,,,,,,,,,,,
74,122,,,,,,,,,,,,,,,,,,,,,,
75,120,,,,,,,,,,,,,,,,,,,,,,
77,38B,38A,38D,122,38,,,,,,,,,,,,,,,,,,
78,38,122,38D,38A,38B,,,,,,,,,,,,,,,,,,
79,38B,38A,38D,120,122,38,,,,,,,,,,,,,,,,,
80,38,122,120,38D,38B,38A,,,,,,,,,,,,,,,,,
81,46A,,,,,,,,,,,,,,,,,,,,,,
82,122,38,38B,38A,38D,120,,,,,,,,,,,,,,,,,
83,122,,,,,,,,,,,,,,,,,,,,,,
84,122,,,,,,,,,,,,,,,,,,,,,,
85,13,33,16,1,41B,41,41C,44,,,,,,,,,,,,,,,
86,13,,,,,,,,,,,,,,,,,,,,,,
87,13,,,,,,,,,,,,,,,,,,,,,,
88,13,,,,,,,,,,,,,,,,,,,,,,
89,13,,,,,,,,,,,,,,,,,,,,,,
90,13,4,9,,,,,,,,,,,,,,,,,,,,
91,9,4,13,,,,,,,,,,,,,,,,,,,,
92,13,17A,4,,,,,,,,,,,,,,,,,,,,
93,4,17A,13,,,,,,,,,,,,,,,,,,,,
94,13,17A,4,,,,,,,,,,,,,,,,,,,,
100,150,54A,,,,,,,,,,,,,,,,,,,,,
102,13,220,,,,,,,,,,,,,,,,,,,,,
104,220,13,,,,,,,,,,,,,,,,,,,,,
105,13,220,,,,,,,,,,,,,,,,,,,,,
107,220,13,,,,,,,,,,,,,,,,,,,,,
110,13,220,,,,,,,,,,,,,,,,,,,,,
112,17A,13,4,,,,,,,,,,,,,,,,,,,,
113,4,13,17A,,,,,,,,,,,,,,,,,,,,
114,13,104,4,,,,,,,,,,,,,,,,,,,,
115,4,9,13,,,,,,,,,,,,,,,,,,,,
116,13,,,,,,,,,,,,,,,,,,,,,,
117,13,,,,,,,,,,,,,,,,,,,,,,
118,13,,,,,,,,,,,,,,,,,,,,,,
119,13,33,16,16C,44,41C,41A,41,41B,1,,,,,,,,,,,,,
124,220,,,,,,,,,,,,,,,,,,,,,,
126,17A,4,,,,,,,,,,,,,,,,,,,,,
127,4,17A,,,,,,,,,,,,,,,,,,,,,
