stop_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
470,4,7,7A,84A,7D,,,,,,,,,,,,,,,,,,
471,7D,84A,7A,7,4,,,,,,,,,,,,,,,,,,
472,4,7,7A,84A,7D,,,,,,,,,,,,,,,,,,
473,7D,84A,7A,7,4,,,,,,,,,,,,,,,,,,
475,4,7,7A,84A,7D,,,,,,,,,,,,,,,,,,
476,7D,84A,7A,7,4,,,,,,,,,,,,,,,,,,
477,4,7,7A,84A,7D,,,,,,,,,,,,,,,,,,
478,7D,84A,7A,7,4,,,,,,,,,,,,,,,,,,
479,4,7,7A,27X,,,,,,,,,,,,,,,,,,,
480,27X,7A,7,4,,,,,,,,,,,,,,,,,,,
481,4,7,7A,27X,,,,,,,,,,,,,,,,,,,
482,27X,7A,7,4,,,,,,,,,,,,,,,,,,,
483,4,7,7A,27X,,,,,,,,,,,,,,,,,,,
485,27X,7A,7D,7,4,120,,,,,,,,,,,,,,,,,
486,18,,,,,,,,,,,,,,,,,,,,,,
487,18,120,4,7,7D,7A,,,,,,,,,,,,,,,,,
488,7A,7D,7,4,120,27X,,,,,,,,,,,,,,,,,
489,120,4,7,7D,7A,,,,,,,,,,,,,,,,,,
490,7A,7D,7,4,120,,,,,,,,,,,,,,,,,,
491,120,4,7,7D,7A,27X,,,,,,,,,,,,,,,,,
492,7A,7D,7,4,120,,,,,,,,,,,,,,,,,,
493,120,4,7,7D,7A,27X,26,25B,25D,25,25A,66A,66,66B,67,,,,,,,,
494,67,66B,66,66A,25A,25,25D,25B,26,27X,7A,7D,7,757,4,120,,,,,,,
495,120,4,757,7,7D,7A,44,27X,26,25B,25D,25,25A,66A,61,66,66B,67,,,,,
496,53,32X,14,31,27A,27,27X,29A,31B,31A,32,130,,,,,,,,,,,
497,27B,27,27A,14,53,43,42,15,,,,,,,,,,,,,,,
499,123,,,,,,,,,,,,,,,,,,,,,,
500,123,,,,,,,,,,,,,,,,,,,,,,
501,123,,,,,,,,,,,,,,,,,,,,,,
509,123,,,,,,,,,,,,,,,,,,,,,,
510,123,,,,,,,,,,,,,,,,,,,,,,
511,123,,,,,,,,,,,,,,,,,,,,,,
513,123,,,,,,,,,,,,,,,,,,,,,,
515,130,15,42,43,53,14,31,27A,27B,29A,31A,27,32,31B,,,,,,,,,
516,31B,32,27,31A,29A,27B,27A,31,14,53,43,42,15,130,,,,,,,,,
518,53,,,,,,,,,,,,,,,,,,,,,,
519,14,31,27A,43,29A,31A,27B,27,32,31B,130,15,42,,,,,,,,,,
521,42,15,130,31B,32,27,27B,31A,29A,43,27A,31,14,,,,,,,,,,
522,14,31,27A,32X,43,29A,31A,27B,27,32,31B,130,15,42,,,,,,,,,
523,42,15,130,31B,32,27,27B,27X,31A,29A,43,27A,31,14,,,,,,,,,
525,31,29A,31A,32,31B,,,,,,,,,,,,,,,,,,
526,31B,32,31A,29A,31,,,,,,,,,,,,,,,,,,
527,31,29A,31A,32,31B,,,,,,,,,,,,,,,,,,
528,31B,32,31A,29A,31,,,,,,,,,,,,,,,,,,
529,31,29A,31A,32,31B,,,,,,,,,,,,,,,,,,
530,31B,32,31A,29A,31,104,,,,,,,,,,,,,,,,,
531,31,29A,31A,32,31B,,,,,,,,,,,,,,,,,,
532,31B,32,31A,29A,31,,,,,,,,,,,,,,,,,,
533,31,31A,32,31B,,,,,,,,,,,,,,,,,,,
534,31B,32,31A,31,,,,,,,,,,,,,,,,,,,
535,31,31A,32,31B,,,,,,,,,,,,,,,,,,,
536,31B,32,31A,31,,,,,,,,,,,,,,,,,,,
537,31,31A,32,31B,,,,,,,,,,,,,,,,,,,
538,31B,32,31A,31,,,,,,,,,,,,,,,,,,,
539,31,31A,32,31B,,,,,,,,,,,,,,,,,,,
540,31B,32,31A,31,,,,,,,,,,,,,,,,,,,
541,31,31A,32,31B,,,,,,,,,,,,,,,,,,,
542,31B,32,31A,31,,,,,,,,,,,,,,,,,,,
543,31,31A,32,31B,,,,,,,,,,,,,,,,,,,
544,31B,32,31A,31,32X,,,,,,,,,,,,,,,,,,
545,31,31A,32,31B,,,,,,,,,,,,,,,,,,,
546,31B,32,31A,31,32X,,,,,,,,,,,,,,,,,,
547,31,31A,31B,,,,,,,,,,,,,,,,,,,,
548,31B,31A,31,,,,,,,,,,,,,,,,,,,,
549,31,31A,31B,,,,,,,,,,,,,,,,,,,,
550,31A,31,,,,,,,,,,,,,,,,,,,,,
551,31,31A,,,,,,,,,,,,,,,,,,,,,
552,31A,31,,,,,,,,,,,,,,,,,,,,,
553,31,31A,,,,,,,,,,,,,,,,,,,,,
554,31A,31,,,,,,,,,,,,,,,,,,,,,
555,31,31A,,,,,,,,,,,,,,,,,,,,,
557,31A,31B,31,,,,,,,,,,,,,,,,,,,,
558,31,31B,31A,,,,,,,,,,,,,,,,,,,,
559,31A,31B,31,,,,,,,,,,,,,,,,,,,,
560,31,31B,31A,,,,,,,,,,,,,,,,,,,,
562,31A,31B,31,,,,,,,,,,,,,,,,,,,,
563,31,31B,31A,,,,,,,,,,,,,,,,,,,,
564,31A,31B,31,,,,,,,,,,,,,,,,,,,,
565,31,31B,31A,,,,,,,,,,,,,,,,,,,,
566,31A,31B,31,,,,,,,,,,,,,,,,,,,,
567,31,31A,,,,,,,,,,,,,,,,,,,,,
568,31A,31,,,,,,,,,,,,,,,,,,,,,
569,31,31A,,,,,,,,,,,,,,,,,,,,,
570,31A,31,,,,,,,,,,,,,,,,,,,,,
571,31,31A,,,,,,,,,,,,,,,,,,,,,
572,31A,31,,,,,,,,,,,,,,,,,,,,,
573,31,31A,,,,,,,,,,,,,,,,,,,,,
574,31A,31,,,,,,,,,,,,,,,,,,,,,
575,31,31A,,,,,,,,,,,,,,,,,,,,,
576,31A,31,,,,,,,,,,,,,,,,,,,,,
577,31,31A,,,,,,,,,,,,,,,,,,,,,
579,31A,31,,,,,,,,,,,,,,,,,,,,,
580,31,31A,,,,,,,,,,,,,,,,,,,,,
581,31A,31,,,,,,,,,,,,,,,,,,,,,
582,31,31A,,,,,,,,,,,,,,,,,,,,,
583,31A,31,,,,,,,,,,,,,,,,,,,,,
584,31,31A,,,,,,,,,,,,,,,,,,,,,
585,31A,31B,31,,,,,,,,,,,,,,,,,,,,
586,31,31B,31A,,,,,,,,,,,,,,,,,,,,
587,31A,31B,32,31,,,,,,,,,,,,,,,,,,,
588,31,32X,32,31B,31A,,,,,,,,,,,,,,,,,,
589,31A,31B,32,31,,,,,,,,,,,,,,,,,,,
590,31,32X,32,31B,31A,,,,,,,,,,,,,,,,,,
591,31A,31B,32,31,,,,,,,,,,,,,,,,,,,
592,31,32,31B,31A,,,,,,,,,,,,,,,,,,,
593,31A,31B,32,31,,,,,,,,,,,,,,,,,,,
594,31,32,31B,31A,,,,,,,,,,,,,,,,,,,
595,31A,31B,32,31,,,,,,,,,,,,,,,,,,,
596,31,32,31B,31A,,,,,,,,,,,,,,,,,,,
597,31A,31B,31,32,,,,,,,,,,,,,,,,,,,
598,32,31,31B,31A,,,,,,,,,,,,,,,,,,,
599,31A,31B,31,32,,,,,,,,,,,,,,,,,,,
600,32,31,31B,31A,29A,,,,,,,,,,,,,,,,,,
601,31A,31B,31,32,,,,,,,,,,,,,,,,,,,
602,32,31,31B,31A,,,,,,,,,,,,,,,,,,,
603,31A,31B,31,32,,,,,,,,,,,,,,,,,,,
604,32,31,31B,31A,29A,,,,,,,,,,,,,,,,,,
605,29A,31A,31B,31,32,,,,,,,,,,,,,,,,,,
606,32,31,31B,31A,29A,,,,,,,,,,,,,,,,,,
607,29A,31A,31B,31,32,,,,,,,,,,,,,,,,,,
608,32,31,31B,31A,29A,104,,,,,,,,,,,,,,,,,
609,29A,31A,31B,31,32,,,,,,,,,,,,,,,,,,
610,32,31,31B,31A,29A,,,,,,,,,,,,,,,,,,
611,29A,31A,31B,31,32,,,,,,,,,,,,,,,,,,
612,32,31,31B,31A,29A,,,,,,,,,,,,,,,,,,
613,29A,31A,31B,31,32,,,,,,,,,,,,,,,,,,
614,32,31,31B,31A,29A,27B,27X,27,27A,14,32X,43,130,14C,15,42,,,,,,,
615,42,15,14C,130,43,14,27A,27,27B,29A,31A,31B,31,32,,,,,,,,,
616,32,31,31B,31A,29A,27B,27,27A,14,53,43,130,14C,15,42,,,,,,,,
617,42,15,14C,130,43,53,14,27A,27,27B,29A,31A,31B,31,32,,,,,,,,
618,32,31,31B,31A,29A,27B,27,27A,14,53,43,130,14C,15,42,,,,,,,,
619,42,15,14C,130,43,53,14,27A,27,27B,29A,31A,31B,31,32,,,,,,,,
620,32,31,31B,31A,29A,27A,130,747,,,,,,,,,,,,,,,
621,130,32X,29A,31A,31B,31,32,,,,,,,,,,,,,,,,
624,27A,,,,,,,,,,,,,,,,,,,,,,
625,27A,,,,,,,,,,,,,,,,,,,,,,
626,27A,,,,,,,,,,,,,,,,,,,,,,
627,27A,,,,,,,,,,,,,,,,,,,,,,
628,27A,,,,,,,,,,,,,,,,,,,,,,
629,27A,,,,,,,,,,,,,,,,,,,,,,
630,27A,,,,,,,,,,,,,,,,,,,,,,
633,27A,,,,,,,,,,,,,,,,,,,,,,
634,27A,,,,,,,,,,,,,,,,,,,,,,
635,27A,,,,,,,,,,,,,,,,,,,,,,
636,27A,,,,,,,,,,,,,,,,,,,,,,
637,27A,,,,,,,,,,,,,,,,,,,,,,
638,27A,,,,,,,,,,,,,,,,,,,,,,
639,27A,,,,,,,,,,,,,,,,,,,,,,
640,27A,,,,,,,,,,,,,,,,,,,,,,
641,27A,,,,,,,,,,,,,,,,,,,,,,
642,27A,,,,,,,,,,,,,,,,,,,,,,
643,27A,,,,,,,,,,,,,,,,,,,,,,
644,27A,,,,,,,,,,,,,,,,,,,,,,
645,27A,,,,,,,,,,,,,,,,,,,,,,
649,29A,,,,,,,,,,,,,,,,,,,,,,
650,29A,,,,,,,,,,,,,,,,,,,,,,
651,29A,,,,,,,,,,,,,,,,,,,,,,
653,29A,,,,,,,,,,,,,,,,,,,,,,
654,29A,,,,,,,,,,,,,,,,,,,,,,
655,29A,,,,,,,,,,,,,,,,,,,,,,
656,29A,,,,,,,,,,,,,,,,,,,,,,
657,29A,,,,,,,,,,,,,,,,,,,,,,
658,29A,,,,,,,,,,,,,,,,,,,,,,
659,29A,,,,,,,,,,,,,,,,,,,,,,
661,220,238,236,,,,,,,,,,,,,,,,,,,,
664,14C,15,42,43,27A,14,27B,27,27X,,,,,,,,,,,,,,
665,27,27B,14,27A,43,42,15,14C,,,,,,,,,,,,,,,
666,14C,15,42,43,27A,14,27B,27,,,,,,,,,,,,,,,
667,27,27B,14,27A,43,42,15,14C,,,,,,,,,,,,,,,
668,14C,15,42,43,27A,14,27B,27,,,,,,,,,,,,,,,
669,27,27B,14,27A,43,42,15,,,,,,,,,,,,,,,,
670,15,42,43,27A,14,27B,27,,,,,,,,,,,,,,,,
671,27,27B,14,27A,43,42,15,,,,,,,,,,,,,,,,
672,15,14,42,43,27A,27B,27,,,,,,,,,,,,,,,,
674,104,,,,,,,,,,,,,,,,,,,,,,
675,130,14,15,14C,43,42,27,27B,29A,31A,32,31,31B,27A,32X,53,,,,,,,
677,31B,,,,,,,,,,,,,,,,,,,,,,
678,31B,,,,,,,,,,,,,,,,,,,,,,
679,31B,,,,,,,,,,,,,,,,,,,,,,
680,31B,31A,,,,,,,,,,,,,,,,,,,,,
681,31A,31B,,,,,,,,,,,,,,,,,,,,,
682,31B,31A,,,,,,,,,,,,,,,,,,,,,
683,31A,31B,,,,,,,,,,,,,,,,,,,,,
684,31B,31A,,,,,,,,,,,,,,,,,,,,,
685,31A,31B,,,,,,,,,,,,,,,,,,,,,
686,31B,31A,,,,,,,,,,,,,,,,,,,,,
688,31A,31B,,,,,,,,,,,,,,,,,,,,,
689,31B,31A,,,,,,,,,,,,,,,,,,,,,
690,31A,31B,,,,,,,,,,,,,,,,,,,,,
691,31B,31A,,,,,,,,,,,,,,,,,,,,,
692,31A,31B,,,,,,,,,,,,,,,,,,,,,
693,31B,31,,,,,,,,,,,,,,,,,,,,,
694,31B,,,,,,,,,,,,,,,,,,,,,,
695,31B,31A,,,,,,,,,,,,,,,,,,,,,
696,31A,31B,,,,,,,,,,,,,,,,,,,,,
697,31B,31A,,,,,,,,,,,,,,,,,,,,,
698,31A,31B,,,,,,,,,,,,,,,,,,,,,
699,31B,31A,,,,,,,,,,,,,,,,,,,,,
700,31A,31B,,,,,,,,,,,,,,,,,,,,,
701,31B,31A,,,,,,,,,,,,,,,,,,,,,
702,31A,31B,,,,,,,,,,,,,,,,,,,,,
703,31B,31A,,,,,,,,,,,,,,,,,,,,,
704,31A,31B,,,,,,,,,,,,,,,,,,,,,
705,31B,31A,,,,,,,,,,,,,,,,,,,,,
706,31A,31B,,,,,,,,,,,,,,,,,,,,,
707,31B,31,31A,,,,,,,,,,,,,,,,,,,,
708,31A,31,31B,,,,,,,,,,,,,,,,,,,,
709,31B,31,32,31A,29A,,,,,,,,,,,,,,,,,,
710,31A,31,31B,,,,,,,,,,,,,,,,,,,,
711,31B,31,31A,,,,,,,,,,,,,,,,,,,,
712,31A,31,31B,,,,,,,,,,,,,,,,,,,,
713,31B,31,31A,,,,,,,,,,,,,,,,,,,,
714,31A,31,31B,,,,,,,,,,,,,,,,,,,,
715,31B,31,31A,,,,,,,,,,,,,,,,,,,,
716,31A,31,31B,,,,,,,,,,,,,,,,,,,,
717,31B,31,31A,,,,,,,,,,,,,,,,,,,,
718,31A,31,31B,,,,,,,,,,,,,,,,,,,,
719,31,31B,31A,,,,,,,,,,,,,,,,,,,,
720,31A,31B,31,,,,,,,,,,,,,,,,,,,,
721,31,31B,,,,,,,,,,,,,,,,,,,,,
722,29A,,,,,,,,,,,,,,,,,,,,,,
723,29A,,,,,,,,,,,,,,,,,,,,,,
724,29A,,,,,,,,,,,,,,,,,,,,,,
725,29A,,,,,,,,,,,,,,,,,,,,,,
726,29A,,,,,,,,,,,,,,,,,,,,,,
727,29A,,,,,,,,,,,,,,,,,,,,,,
728,29A,,,,,,,,,,,,,,,,,,,,,,
729,29A,,,,,,,,,,,,,,,,,,,,,,
730,29A,,,,,,,,,,,,,,,,,,,,,,
731,31B,31,31A,,,,,,,,,,,,,,,,,,,,
733,102,41C,41X,,,,,,,,,,,,,,,,,,,,
738,29A,,,,,,,,,,,,,,,,,,,,,,
739,29A,,,,,,,,,,,,,,,,,,,,,,
740,29A,,,,,,,,,,,,,,,,,,,,,,
741,29A,,,,,,,,,,,,,,,,,,,,,,
742,29A,,,,,,,,,,,,,,,,,,,,,,
743,29A,,,,,,,,,,,,,,,,,,,,,,
744,29A,,,,,,,,,,,,,,,,,,,,,,
745,29A,,,,,,,,,,,,,,,,,,,,,,
746,84X,,,,,,,,,,,,,,,,,,,,,,
747,7D,7B,70,38B,38A,38D,39,39A,145,33D,38,11,37,46A,,,,,,,,,
748,25,38,33D,25A,25B,25D,39A,39,38D,38A,38B,70,757,,,,,,,,,,
749,70,38B,38A,38D,39,39A,39X,25X,38,51D,51X,67X,66X,,,,,,,,,,
750,66X,67X,51X,51D,38,25X,39A,39,38D,38A,38B,70,77X,,,,,,,,,,
751,77X,70,38B,38A,38D,39,39A,39X,25X,38,51D,51X,67X,66X,,,,,,,,,
752,66X,67X,51X,51D,38,25X,39X,39A,39,38D,38A,38B,70,77X,,,,,,,,,
753,77X,70,38B,38A,38D,39,39A,25X,18,38,51D,51X,67X,66X,,,,,,,,,
754,66X,67X,51X,51D,18,25X,39A,77X,,,,,,,,,,,,,,,
755,77X,39A,25X,18,51D,51X,67X,66X,,,,,,,,,,,,,,,
756,66X,67X,51X,46A,25X,39A,7B,77X,7D,41X,145,116,,,,,,,,,,,
757,116,145,41X,7D,77X,7B,39A,25X,46A,51X,66X,67X,,,,,,,,,,,
758,67X,66X,51X,46A,25X,39A,7B,77X,7D,84X,41X,145,116,,,,,,,,,,
759,116,145,41X,7D,77X,7B,39A,25X,46A,51X,32X,67X,66X,,,,,,,,,,
760,66X,67X,32X,51X,46A,25X,39A,7B,77X,7D,41X,145,116,84X,,,,,,,,,
761,116,145,7D,77X,7B,39A,25X,46A,51X,32X,67X,66X,,,,,,,,,,,
762,66X,67X,32X,51X,46A,25X,39A,7B,77X,7D,41X,145,116,,,,,,,,,,
763,116,145,41X,47,7D,77X,7B,39A,25X,27X,46A,51X,32X,66X,67X,,,,,,,,
765,17,,,,,,,,,,,,,,,,,,,,,,
767,46A,39A,39,145,,,,,,,,,,,,,,,,,,,
768,145,116,118,84X,39,39A,7B,7D,47,46E,41X,46A,32X,67X,66X,17,27X,25X,,,,,
769,25X,66X,67X,46A,41X,46E,7D,7B,39A,39,118,116,145,,,,,,,,,,
770,145,116,118,39,39A,7B,7D,46E,41X,46A,32X,67X,66X,25X,,,,,,,,,
771,25X,66X,67X,46A,41X,46E,7D,7B,39A,39,118,116,145,,,,,,,,,,
772,145,116,118,84X,39,39A,7B,7D,46E,41X,46A,67X,66X,25X,,,,,,,,,
773,25X,66X,67X,46A,32X,41X,46E,7D,7B,39A,39,118,116,145,,,,,,,,,
774,145,116,118,39,39A,7B,7D,46E,41X,32X,46A,67X,66X,25X,,,,,,,,,
775,25X,66X,67X,46A,41X,46E,7D,7B,39A,39,118,116,145,84X,,,,,,,,,
776,145,116,118,39,39A,7B,7D,46E,41X,46A,67X,66X,25X,,,,,,,,,,
777,25X,66X,67X,46A,41X,46E,7D,7B,39A,39,118,116,145,,,,,,,,,,
779,39,39A,67X,66X,25X,18,,,,,,,,,,,,,,,,,
780,18,25X,66X,67X,39A,39,,,,,,,,,,,,,,,,,
781,39,39A,67X,66X,25X,18,,,,,,,,,,,,,,,,,
782,25X,66X,67X,39A,39,,,,,,,,,,,,,,,,,,
783,39,39A,38D,39X,70,38A,38B,67X,66X,37,25X,38,,,,,,,,,,,
784,38,25X,37,66X,67X,38B,38A,70,38D,39A,39,,,,,,,,,,,,
785,39,39A,38D,39X,70,38A,38B,67X,66X,37,25X,38,,,,,,,,,,,
786,38,25X,37,11,46A,66X,67X,38B,38A,70,39X,38D,39A,39,7B,7D,46E,145,116,118,,,
788,102,,,,,,,,,,,,,,,,,,,,,,
790,32X,41X,,,,,,,,,,,,,,,,,,,,,
791,67X,66X,25X,,,,,,,,,,,,,,,,,,,,
792,46A,46E,7D,7B,118,116,145,84X,,,,,,,,,,,,,,,
793,39,39A,38D,39X,70,38A,38B,44,37,11,61,38,,,,,,,,,,,
795,38,46A,38B,38A,38D,120,,,,,,,,,,,,,,,,,
796,120,38D,38A,38B,46A,38,,,,,,,,,,,,,,,,,
797,46A,,,,,,,,,,,,,,,,,,,,,,
798,46A,,,,,,,,,,,,,,,,,,,,,,
799,46A,,,,,,,,,,,,,,,,,,,,,,
800,46A,,,,,,,,,,,,,,,,,,,,,,
801,46A,,,,,,,,,,,,,,,,,,,,,,
802,46A,37,,,,,,,,,,,,,,,,,,,,,
803,46A,,,,,,,,,,,,,,,,,,,,,,
804,46A,,,,,,,,,,,,,,,,,,,,,,
805,46A,,,,,,,,,,,,,,,,,,,,,,
806,46A,,,,,,,,,,,,,,,,,,,,,,
807,46A,,,,,,,,,,,,,,,,,,,,,,
808,46A,,,,,,,,,,,,,,,,,,,,,,
809,46A,,,,,,,,,,,,,,,,,,,,,,
810,46A,,,,,,,,,,,,,,,,,,,,,,
811,46A,,,,,,,,,,,,,,,,,,,,,,
812,46A,,,,,,,,,,,,,,,,,,,,,,
813,46A,,,,,,,,,,,,,,,,,,,,,,
814,46A,,,,,,,,,,,,,,,,,,,,,,
815,102,,,,,,,,,,,,,,,,,,,,,,
817,46A,38,38B,38A,38D,120,,,,,,,,,,,,,,,,,
818,120,38D,38A,38B,38,46A,,,,,,,,,,,,,,,,,
819,46A,38,38B,38A,9,38D,4,40,120,140,,,,,,,,,,,,,
820,122,,,,,,,,,,,,,,,,,,,,,,
821,122,,,,,,,,,,,,,,,,,,,,,,
822,120,,,,,,,,,,,,,,,,,,,,,,
823,120,,,,,,,,,,,,,,,,,,,,,,
824,120,,,,,,,,,,,,,,,,,,,,,,
825,120,,,,,,,,,,,,,,,,,,,,,,
826,120,,,,,,,,,,,,,,,,,,,,,,
827,120,,,,,,,,,,,,,,,,,,,,,,
828,120,,,,,,,,,,,,,,,,,,,,,,
829,120,,,,,,,,,,,,,,,,,,,,,,
830,120,,,,,,,,,,,,,,,,,,,,,,
831,120,,,,,,,,,,,,,,,,,,,,,,
832,122,,,,,,,,,,,,,,,,,,,,,,
833,122,,,,,,,,,,,,,,,,,,,,,,
834,40B,40,40D,,,,,,,,,,,,,,,,,,,,
835,40D,40,40B,,,,,,,,,,,,,,,,,,,,
836,40B,40,40D,,,,,,,,,,,,,,,,,,,,
837,40D,40,40B,,,,,,,,,,,,,,,,,,,,
838,40B,40,40D,,,,,,,,,,,,,,,,,,,,
839,40D,40,40B,,,,,,,,,,,,,,,,,,,,
840,40B,40,40D,,,,,,,,,,,,,,,,,,,,
841,40D,40,40B,,,,,,,,,,,,,,,,,,,,
842,32X,11,46A,7B,757,7D,41X,145,,,,,,,,,,,,,,,
843,142,44,37,61,,,,,,,,,,,,,,,,,,,
844,84X,,,,,,,,,,,,,,,,,,,,,,
845,145,41X,7D,7B,37,11,46A,,,,,,,,,,,,,,,,
846,46A,11,37,32X,7B,7D,41X,145,84X,,,,,,,,,,,,,,
847,145,41X,7D,7B,11,46A,,,,,,,,,,,,,,,,,
848,46A,11,32X,7B,7D,41X,145,116,84X,,,,,,,,,,,,,,
849,11,18,,,,,,,,,,,,,,,,,,,,,
850,18,11,,,,,,,,,,,,,,,,,,,,,
851,11,18,,,,,,,,,,,,,,,,,,,,,
852,11,61,44,,,,,,,,,,,,,,,,,,,,
853,44,61,11,,,,,,,,,,,,,,,,,,,,
854,11,61,44,,,,,,,,,,,,,,,,,,,,
855,44,61,11,,,,,,,,,,,,,,,,,,,,
856,11,,,,,,,,,,,,,,,,,,,,,,
857,11,,,,,,,,,,,,,,,,,,,,,,
858,11,,,,,,,,,,,,,,,,,,,,,,
859,11,,,,,,,,,,,,,,,,,,,,,,
860,11,,,,,,,,,,,,,,,,,,,,,,
861,11,17,,,,,,,,,,,,,,,,,,,,,
862,17,11,,,,,,,,,,,,,,,,,,,,,
863,17,,,,,,,,,,,,,,,,,,,,,,
864,17,,,,,,,,,,,,,,,,,,,,,,
865,17,,,,,,,,,,,,,,,,,,,,,,
866,17,,,,,,,,,,,,,,,,,,,,,,
867,17,,,,,,,,,,,,,,,,,,,,,,
869,17,,,,,,,,,,,,,,,,,,,,,,
870,17,,,,,,,,,,,,,,,,,,,,,,
873,17,,,,,,,,,,,,,,,,,,,,,,
874,17,,,,,,,,,,,,,,,,,,,,,,
875,17,11,,,,,,,,,,,,,,,,,,,,,
876,11,17,142,,,,,,,,,,,,,,,,,,,,
877,142,,,,,,,,,,,,,,,,,,,,,,
878,11,,,,,,,,,,,,,,,,,,,,,,
879,11,,,,,,,,,,,,,,,,,,,,,,
880,11,,,,,,,,,,,,,,,,,,,,,,
881,11,,,,,,,,,,,,,,,,,,,,,,
882,11,,,,,,,,,,,,,,,,,,,,,,
883,11,,,,,,,,,,,,,,,,,,,,,,
884,11,61,44,,,,,,,,,,,,,,,,,,,,
885,44,61,11,,,,,,,,,,,,,,,,,,,,
886,11,61,44,,,,,,,,,,,,,,,,,,,,
887,44,61,11,,,,,,,,,,,,,,,,,,,,
893,140,,,,,,,,,,,,,,,,,,,,,,
894,140,,,,,,,,,,,,,,,,,,,,,,
895,140,142,,,,,,,,,,,,,,,,,,,,,
896,140,,,,,,,,,,,,,,,,,,,,,,
897,140,,,,,,,,,,,,,,,,,,,,,,
903,11,18,,,,,,,,,,,,,,,,,,,,,
904,18,11,,,,,,,,,,,,,,,,,,,,,
905,102,32X,142,42,,,,,,,,,,,,,,,,,,,
906,41X,46E,7D,7B,118,116,145,84X,32X,11,46A,,,,,,,,,,,,
907,46A,11,145,116,118,7B,7D,46E,,,,,,,,,,,,,,,
908,46E,7D,7B,118,116,145,11,46A,,,,,,,,,,,,,,,
909,46A,11,32X,145,116,118,84X,7B,7D,46E,41X,,,,,,,,,,,,
910,32,,,,,,,,,,,,,,,,,,,,,,
911,32,,,,,,,,,,,,,,,,,,,,,,
912,32,,,,,,,,,,,,,,,,,,,,,,
913,32,102,,,,,,,,,,,,,,,,,,,,,
914,102,32X,32,,,,,,,,,,,,,,,,,,,,
915,29A,,,,,,,,,,,,,,,,,,,,,,
916,29A,,,,,,,,,,,,,,,,,,,,,,
917,29A,,,,,,,,,,,,,,,,,,,,,,
918,29A,,,,,,,,,,,,,,,,,,,,,,
919,29A,,,,,,,,,,,,,,,,,,,,,,
924,29A,,,,,,,,,,,,,,,,,,,,,,
925,29A,,,,,,,,,,,,,,,,,,,,,,
927,29A,,,,,,,,,,,,,,,,,,,,,,
928,32,32X,102,,,,,,,,,,,,,,,,,,,,
929,32,,,,,,,,,,,,,,,,,,,,,,
930,32,,,,,,,,,,,,,,,,,,,,,,
931,32,,,,,,,,,,,,,,,,,,,,,,
935,102,,,,,,,,,,,,,,,,,,,,,,
936,102,,,,,,,,,,,,,,,,,,,,,,
938,102,32X,32,29A,,,,,,,,,,,,,,,,,,,
940,32,32X,102,,,,,,,,,,,,,,,,,,,,
941,102,32X,32,,,,,,,,,,,,,,,,,,,,
942,32,32X,102,,,,,,,,,,,,,,,,,,,,
943,102,32X,32,,,,,,,,,,,,,,,,,,,,
944,32,32X,102,,,,,,,,,,,,,,,,,,,,
945,102,32X,32,,,,,,,,,,,,,,,,,,,,
946,49,75,15,,,,,,,,,,,,,,,,,,,,
947,32,32X,102,,,,,,,,,,,,,,,,,,,,
948,102,32X,32,,,,,,,,,,,,,,,,,,,,
949,32,32X,102,,,,,,,,,,,,,,,,,,,,
950,29A,,,,,,,,,,,,,,,,,,,,,,
951,102,,,,,,,,,,,,,,,,,,,,,,
952,102,,,,,,,,,,,,,,,,,,,,,,
953,102,,,,,,,,,,,,,,,,,,,,,,
956,17A,,,,,,,,,,,,,,,,,,,,,,
957,17A,,,,,,,,,,,,,,,,,,,,,,
958,17A,,,,,,,,,,,,,,,,,,,,,,
959,17A,,,,,,,,,,,,,,,,,,,,,,
960,17A,,,,,,,,,,,,,,,,,,,,,,
961,17A,,,,,,,,,,,,,,,,,,,,,,
962,17A,27A,,,,,,,,,,,,,,,,,,,,,
963,17A,,,,,,,,,,,,,,,,,,,,,,
964,17A,,,,,,,,,,,,,,,,,,,,,,
965,17A,,,,,,,,,,,,,,,,,,,,,,
966,17A,,,,,,,,,,,,,,,,,,,,,,
967,17A,,,,,,,,,,,,,,,,,,,,,,
968,17A,,,,,,,,,,,,,,,,,,,,,,
969,27B,,,,,,,,,,,,,,,,,,,,,,
972,27B,17A,,,,,,,,,,,,,,,,,,,,,
973,17A,,,,,,,,,,,,,,,,,,,,,,
974,17A,,,,,,,,,,,,,,,,,,,,,,
975,17A,,,,,,,,,,,,,,,,,,,,,,
976,17A,,,,,,,,,,,,,,,,,,,,,,
979,17A,220,,,,,,,,,,,,,,,,,,,,,
980,40B,17A,40D,,,,,,,,,,,,,,,,,,,,
981,40D,17A,40B,,,,,,,,,,,,,,,,,,,,
983,40B,17A,40D,,,,,,,,,,,,,,,,,,,,
984,40D,17A,40B,,,,,,,,,,,,,,,,,,,,
985,40B,17A,40D,,,,,,,,,,,,,,,,,,,,
987,40,17A,,,,,,,,,,,,,,,,,,,,,
988,17A,,,,,,,,,,,,,,,,,,,,,,
989,17A,,,,,,,,,,,,,,,,,,,,,,
990,17A,,,,,,,,,,,,,,,,,,,,,,
991,17A,,,,,,,,,,,,,,,,,,,,,,
992,17A,27B,,,,,,,,,,,,,,,,,,,,,
